road_id,road_key,nomor_ruas,canonical_name,display_name,qgis_source_road_code,qgis_source_name,district_2025,village_source_qgis,historical_source_name,historical_source_record_no,historical_reported_road_no,ml_source_record_id,ml_source_name,identity_status
8c540506-86c7-5677-9c2f-4619ae4bdd67,HSS-KAB-042,042,Sei Kupang Utara - Simp. Empat Lungau,Sei Kupang Utara - Simp. Empat Lungau,042,Sei. Kupang Utara - SP.4 Lungau,Kandangan,Ds. Sei Kupang - Ds. Lungau,Sei Kupang Utara - Simp. Empat Lungau,248,042,99,Sei Kupang Utara - Simp. Empat Lungau,AUTHORITATIVE_V1
66c808c0-9bc2-5713-9f8f-d1791cab8f36,HSS-KAB-043,043,Sp. Empat Lungau - Bangkau,Sp. Empat Lungau - Bangkau,043,SP.4 Lungau - Bangkau,Kandangan,Ds. Lungau - Ds. Bangkau,Sp. Empat Lungau - Bangkau,272,043,10,Sp. Empat Lungau - Bangkau,AUTHORITATIVE_V1
3f8fddc8-fe60-5dc6-836c-7efb64574ef5,HSS-KAB-044,044,Sp. Empat Lungau - Garis,Sp. Empat Lungau - Garis,044,Sp.4 Lungau - Garis,Kandangan,Ds. Lungau - Ds. Bangkau,Sp. Empat Lungau - Garis,273,044,9,Sp. Empat Lungau - Garis,AUTHORITATIVE_V1
07dbf8cd-a0f2-5b73-9dbe-feedaeebfd26,HSS-KAB-045,045,Gambir - Sp. Empat Lungau,Gambir - Sp. Empat Lungau,045,Gambir -SP. Empat Lungau,Kandangan,Ds. Amawang Kiri - Ds. Lungau,Gambir - Sp. Empat Lungau,74,045,80,Gambir - Sp. Empat Lungau,AUTHORITATIVE_V1
9de2747a-0538-57e4-aa7f-8b1b9fce8994,HSS-KAB-046,046,Bariang - Getek,Bariang - Getek,046,Bariang - Getek,Kandangan,Ds. Bariang - Ds. Amawang Kiri Muka,Bariang - Getek,41,046,172,Bariang - Getek,AUTHORITATIVE_V1
3730cca1-d3c1-5017-8138-ecdad5dbcb95,HSS-KAB-047,047,Muara Banta - Karang Jawa,Muara Banta - Karang Jawa,047,Muara Banta - Karang Jawa,Kandangan - Padang Batung,Kandangan Kota - Ds. Karang Jawa Muka,Muara Banta - Karang Jawa,179,047,145,Muara Banta - Karang Jawa,AUTHORITATIVE_V1
fe49da32-d49c-5683-abac-775548030ff6,HSS-KAB-048,048,Sungai Paring - Sei Hanyar Pantai Ulin,Sungai Paring - Sei Hanyar Pantai Ulin,048,Sungai Paring - Sei Hanyar Pantai Ulin,Kandangan - Simpur,Ds. Sungai Paring - Ds. Pantai Ulin,Sungai Paring - Sei Hanyar Pantai Ulin,290,048,27,Sungai Paring - Sei Hanyar Pantai Ulin,AUTHORITATIVE_V1
8d5f78c7-6aa4-51d9-be11-07f0c5ee8033,HSS-KAB-049,049,Kandangan Hulu - Sp. Tabihi,Kandangan Hulu - Sp. Tabihi,049,Kandangan Hulu - SP. Tabihi,Kandangan - Padang Batung,Kandangan Kota - Ds. Karang Jawa Muka,Kandangan Hulu - Sp. Tabihi,128,049,171,Kandangan Hulu - Sp. Tabihi,AUTHORITATIVE_V1
ee0db9ac-7d75-5395-8997-9439421885a6,HSS-KAB-050,050,Banyu Barau - Sei Kalang,Banyu Barau - Sei Kalang,050,Banyu Barau - Sungai Kalang,Kandangan,Kandangan Barat,Banyu Barau - Sei Kalang,40,050,114,Banyu Barau - Sei Kalang,AUTHORITATIVE_V1
47641a83-e418-5e9b-948d-cd06e044de68,HSS-KAB-051,051,Tibung Raya - Asam Cangkuk,Tibung Raya - Asam Cangkuk,051,Tibung Raya - Asam Cangkok,Kandangan,Ds. Tibung Raya - Ds. Telaga Bidadari,Tibung Raya - Asam Cangkuk,336,051,208,Tibung Raya - Asam Cangkuk,AUTHORITATIVE_V1
48ca613e-c5b5-5a14-9973-4a48844b058a,HSS-KAB-052,052,Gambah Dalam - Rantauan,Gambah Dalam - Rantauan,052,Gambah Dalam - Rantauan,Kandangan,Ds. Gambah Dalam - Ds. Gambah Luar,Gambah Dalam - Rantauan,70,052,151,Gambah Dalam - Rantauan,AUTHORITATIVE_V1
d3a472da-a2de-594a-8aa2-74dd2b5fd3aa,HSS-KAB-053,053,Gambah Luar - Gambah Dalam,Gambah Luar - Gambah Dalam,053,Gambah Luar - Gambah Dalam,Kandangan,Ds. Gambah Luar Muka - Ds. Gambah Dalam,Gambah Luar - Gambah Dalam,72,053,164,Gambah Luar - Gambah Dalam,AUTHORITATIVE_V1
f02fac21-8ad4-570c-9a20-d4f5d98e9408,HSS-KAB-054,054,Pegangsaan Timur - Teluk Aman,Pegangsaan Timur - Teluk Aman,054,Pegangsaan Timur - Teluk Aman,Kandangan,Ds. Gambah Dalam - Ds. Sungai Kupang,Pegangsaan Timur - Teluk Aman,227,054,191,Pegangsaan Timur - Teluk Aman,AUTHORITATIVE_V1
2381aeeb-cb36-55ca-9865-615f2af0197d,HSS-KAB-055,055,Gambah Luar - Sungai Kudung,Gambah Luar - Sungai Kudung,055,Gambah Luar - Sungai Kudung,Kandangan,Ds. Gambah Luar Muka,Gambah Luar - Sungai Kudung,73,055,206,Gambah Luar - Sungai Kudung,AUTHORITATIVE_V1
a9c5264a-bdc6-5ca2-a657-3f43c82aabc6,HSS-KAB-056,056,Bakarung Tengah - Karang Jawa,Bakarung Tengah - Karang Jawa,056,Bakarung Tengah - Karang Jawa,Kandangan - Padang Batung,Ds. Gambah Luar - Ds. Karang Jawa Muka,Bakarung Tengah - Karang Jawa,26,056,65,Bakarung Tengah - Karang Jawa,AUTHORITATIVE_V1
c6f10ed6-cfba-58e0-869a-5a74626bcf13,HSS-KAB-057,057,Jl. Papagaran/Palangsatan,Papagaran/Palangsatan,057,Jl. Papagaran/Pelangsatan,Kandangan - Simpur,Ds. Sungai Paring - Ds. Amawang Kanan,Papagaran/Palangsatan,221,057,196,Papagaran/Palangsatan,AUTHORITATIVE_V1
54bf6561-23a7-5d8c-a2c6-7ac892d93e0f,HSS-KAB-058,058,Jl. Tembok Kacil. Sei. Kudung,Tembok Kacil. Sei. Kudung,058,Jl. Tembok Kacil. Sei. Kudung,Kandangan - Padang Batung,Ds. Gambah Luar - Ds. Tabihi,Tembok Kacil. Sei. Kudung,332,058,289,Tembok Kacil. Sei. Kudung,AUTHORITATIVE_V1
f188b982-5020-5ec2-a506-ddf831a8a529,HSS-KAB-059,059,Jl. Mesjid Quba,Mesjid Quba,059,Jl. Mesjid Kuba,Kandangan,Ds. Amawang Kanan - Ds. Amawang Kr Muka,Mesjid Quba,175,059,336,Mesjid Quba,AUTHORITATIVE_V1
9508c577-3c5d-5bfb-af34-6701d2d50b5c,HSS-KAB-060,060,Jl. Sungai Karuh,Sungai Karuh,060,Jl. Sungai Karuh Tembus Tawar,Kandangan,Ds. Amawang Kiri - Ds. Lungau,Sungai Karuh,286,060,122,Sungai Karuh,AUTHORITATIVE_V1
e649105d-360e-5f79-83fa-c38a26c92578,HSS-KAB-061,061,Rambai - Bariang,Rambai - Bariang,061,Jl. Rambai - Bariang,Kandangan,Ds. Amawang Kiri Muka - Ds. Bariang,Rambai - Bariang,236,061,177,Rambai - Bariang,AUTHORITATIVE_V1
857c0452-caaf-53cb-ac8d-b7ceafe46795,HSS-KAB-062,062,Jangkang - Pantai Ulin,Jangkang - Pantai Ulin,062,Jl. Jangkang - Pantai Ulin,Kandangan,Ds. Amawang Kiri - Ds. Pantai Ulin,Jangkang - Pantai Ulin,112,062,136,Jangkang - Pantai Ulin,AUTHORITATIVE_V1
1bf2a17a-3772-5c58-93bb-0d2b830a9539,HSS-KAB-063,063,Jl. Padang Palas,Padang Palas,063,Jl. Padang Palas,Kandangan,Ds. Amawang Kiri,Padang Palas,196,063,236,Padang Palas,AUTHORITATIVE_V1
c72cfd8c-f9ed-54eb-a4a2-39f0d9c26777,HSS-KAB-064,064,Tibung Dalam - Teratai,Tibung Dalam - Teratai,064,Tibung Dalam - Teratai,Kandangan - Sungai Raya,Ds. Hamalau,Tibung Dalam - Teratai,335,064,262,Tibung Dalam - Teratai,AUTHORITATIVE_V1
5eaccb15-756e-5bc5-a204-11acf56231df,HSS-KAB-065,065,Jl. Kalaka Indah - Perumnas Tibung,Kalaka Indah - Perumnas Tibung,065,Jl. Kalaka Indah - Perumnas Tibung,Kandangan,Ds. Hamalau,Kalaka Indah - Perumnas Tibung,118,065,276,Kalaka Indah - Perumnas Tibung,AUTHORITATIVE_V1
f6389463-7b8d-585c-b1e6-8ebe838db3ce,HSS-KAB-066,066,Jl. Teratai Menuju Komplek Perumnas Hamalau,Teratai Menuju Komplek Perumnas Hamalau,066,Jl. Teratai Menuju Komplek Perumnas Hamalau,Kandangan - Sungai Raya,Ds. Hamalau,Teratai Menuju Komplek Perumnas Hamalau,334,066,279,Teratai Menuju Komplek Perumnas Hamalau,AUTHORITATIVE_V1
1fe212e9-5bdc-5bb8-999d-da6a0d45a57d,HSS-KAB-067,067,Teluk Pinang - Baluti,Teluk Pinang - Baluti,067,Teluk Pinang - Baluti,Kandangan,Ds. Baluti,Teluk Pinang - Baluti,327,067,140,Teluk Pinang - Baluti,AUTHORITATIVE_V1
1539a932-2245-5bd2-9bab-99dfd9256ac0,HSS-KAB-068,068,Tibung Raya - Hamalau Dalam,Tibung Raya - Hamalau Dalam,068,Tibung Raya - Hamalau Dalam,Kandangan,Ds. Tibung Raya - Ds. Hamalau,Tibung Raya - Hamalau Dalam,337,068,203,Tibung Raya - Hamalau Dalam,AUTHORITATIVE_V1
1b86fdcc-86ec-5a6b-ba6d-ad8ce546da97,HSS-KAB-069,069,Jl. Baiturrahim Parincahan,Baiturrahim Parincahan,069,Jl. Baiturrahim,Kandangan,Kandangan Barat - Ds. Gambah Dalam,Baiturrahim Parincahan,22,069,158,Baiturrahim Parincahan,AUTHORITATIVE_V1
06568e0a-73bb-5920-bd70-f28ffa2d27ef,HSS-KAB-070,070,Jl. Newangsekarti - Ds. Gambah Luar Muka,Newangsekarti - Ds. Gambah Luar Muka,070,Jl. Newangsekarti - Ds. Gambah Luar Muka,Kandangan,Ds. Gambah Luar Muka,Newangsekarti - Ds. Gambah Luar Muka,190,070,312,Newangsekarti - Ds. Gambah Luar Muka,AUTHORITATIVE_V1
3ed4fa00-9785-52e2-9272-114482304e9a,HSS-KAB-071,071,Jl. Tembok Baru (Asam Cangkok),Tembok Baru (Asam Cangkok),071,Jl. Tembok Baru (Asam Cangkok,Kandangan,Ds. Sungai Paring - Ds. Amawang Kanan,Tembok Baru (Asam Cangkok),331,071,265,Tembok Baru (Asam Cangkok),AUTHORITATIVE_V1
a3c61664-abe8-5309-b694-b28678e0fc73,HSS-KAB-072,072,Sungai Paring - Toba,Sungai Paring - Toba,072,Sungai Paring - Toba,Kandangan - Simpur,Ds. Sungai Paring - Ds. Wasah Hulu,Sungai Paring - Toba,291,072,210,Sungai Paring - Toba,AUTHORITATIVE_V1
616c0bf9-9afd-58a3-a5a4-317187692160,HSS-KAB-073,073,Jl. Tembok Baru - Ds. Baluti,Tembok Baru - Ds. Baluti,073,Jl. Tembok Baru - Baluti,Kandangan,Ds. Baluti - Ds. Tibung Raya,Tembok Baru - Ds. Baluti,330,073,345,Tembok Baru - Ds. Baluti,AUTHORITATIVE_V1
4cb75dc6-2c0d-5baa-8dbc-872af69a9343,HSS-KAB-074,074,Jl. H. Jarkasi - Ds. Sungai Paring,H. Jarkasi - Ds. Sungai Paring,074,Jl. H. Jarkasi,Kandangan,Ds. Bariang - Ds. Sungai Paring,H. Jarkasi - Ds. Sungai Paring,82,074,346,H. Jarkasi - Ds. Sungai Paring,AUTHORITATIVE_V1
4b05885e-fd28-5219-9de1-f058e2a7dae5,HSS-KAB-075,075,Bariang - Patigan,Bariang - Patigan,075,Jl. Bariang - Patigan,Kandangan,Ds. Bariang - Ds. Amawang Kiri,Bariang - Patigan,42,075,141,Bariang - Patigan,AUTHORITATIVE_V1
24150386-c3e8-5a17-bb02-f5e639e211d0,HSS-KAB-076,076,Gambah Dalam Barat - Mahulung,Gambah Dalam Barat - Mahulung,076,Gambah Dalam Barat - Mahulung,Kandangan - Angkinang,Ds. Gambah Dlm Brt - Ds. Taniran Seltan,Gambah Dalam Barat - Mahulung,71,076,124,Gambah Dalam Barat - Mahulung,AUTHORITATIVE_V1
aadba181-ba17-56a9-b828-f9a43b2dc9dc,HSS-KAB-077,077,Jl. Suriangpati - Gambah Dalam Barat,Suriangpati - Gambah Dalam Barat,077,Jl. Suriangpati,Kandangan,Ds. Gambah Dalam Barat,Suriangpati - Gambah Dalam Barat,296,077,88,Suriangpati - Gambah Dalam Barat,AUTHORITATIVE_V1
f524975c-cddf-505c-8635-a890960b0e7b,HSS-KAB-078,078,Jl. Menuju SMP 7 - Ds. Gambah Dalam,Menuju SMP 7 - Ds. Gambah Dalam,078,Jl. Menuju SMP 7 - Ds. Gambah Dalam,Kandangan,Ds. Gambah Dalam - Ds. Gambah Dlm Brt,Menuju SMP 7 - Ds. Gambah Dalam,171,078,195,Menuju SMP 7 - Ds. Gambah Dalam,AUTHORITATIVE_V1
7cd32c2c-b9d6-5010-9233-ff3770196177,HSS-KAB-079,079,Telaga Banta - Patigan,Telaga Banta - Patigan,079,Jl. Telaga Banta - Patigan,Kandangan,Ds. Amawang Kiri - Ds. Lungau,Telaga Banta - Patigan,322,079,247,Telaga Banta - Patigan,AUTHORITATIVE_V1
ff68b2a2-baeb-57ab-bc66-af88e357e0f2,HSS-KAB-080,080,Jl. Nomura,Nomura,080,Jl. Nomura,Kandangan,Kandangan Kota - Ds. Jambu Hilir,Nomura,192,080,278,Nomura,AUTHORITATIVE_V1
c06a72cc-47b7-5893-928e-61c3e70724ac,HSS-KAB-081,081,Jl. Lorong Bupati,Lorong Bupati,081,Jl. Lorong Bupati,Kandangan,Kandangan Kota,Lorong Bupati,152,081,283,Lorong Bupati,AUTHORITATIVE_V1
b78e6543-ae3c-56dc-b8ec-371eae6f7aac,HSS-KAB-082,082,Jl. Biti - Sungai Kupang (Karya Bakti TNI),Biti - Sungai Kupang (Karya Bakti TNI),082,Jl. Biti - Sungai Kupang (Karya Bakti TNI),Kandangan,Ds. Sungai Kupang - Ds. Lungau,Biti - Sungai Kupang (Karya Bakti TNI),55,082,129,Biti - Sungai Kupang (Karya Bakti TNI),AUTHORITATIVE_V1
6996817d-15ff-5beb-80f5-d91283b50046,HSS-KAB-083,083,Jl. Palajau - Ds. Baluti,Palajau - Ds. Baluti,083,Jl. Palajau - Ds. Baluti,Kandangan,Ds. Baluti - Ds. Karasikan,Palajau - Ds. Baluti,208,083,167,Palajau - Ds. Baluti,AUTHORITATIVE_V1
4481f3f6-ec17-556c-a42b-b4083664bdc2,HSS-KAB-084,084,Jl. RS. Hasan Basry II,RS. Hasan Basry II,084,Jl. RS. Hasan Basry II,Sungai Raya,Ds. Hamalau,RS. Hasan Basry II,240,084,349,RS. Hasan Basry II,AUTHORITATIVE_V1
