road_key,canonical_display_name,alias_name,source_system,alias_role
HSS-KAB-072,Sungai Paring - Toba,Sungai Paring - Toba,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-073,Tembok Baru - Ds. Baluti,Jl. Tembok Baru - Ds. Baluti,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-073,Tembok Baru - Ds. Baluti,Jl. Tembok Baru - Baluti,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-074,H. Jarkasi - Ds. Sungai Paring,Jl. H. Jarkasi - Ds. Sungai Paring,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-074,H. Jarkasi - Ds. Sungai Paring,Jl. H. Jarkasi,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-075,Bariang - Patigan,Bariang - Patigan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-075,Bariang - Patigan,Jl. Bariang - Patigan,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-076,Gambah Dalam Barat - Mahulung,Gambah Dalam Barat - Mahulung,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-077,Suriangpati - Gambah Dalam Barat,Jl. Suriangpati - Gambah Dalam Barat,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-077,Suriangpati - Gambah Dalam Barat,Jl. Suriangpati,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-078,Menuju SMP 7 - Ds. Gambah Dalam,Jl. Menuju SMP 7 - Ds. Gambah Dalam,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-079,Telaga Banta - Patigan,Telaga Banta - Patigan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-079,Telaga Banta - Patigan,Jl. Telaga Banta - Patigan,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-080,Nomura,Jl. Nomura,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-081,Lorong Bupati,Jl. Lorong Bupati,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-082,Biti - Sungai Kupang (Karya Bakti TNI),Jl. Biti - Sungai Kupang (Karya Bakti TNI),dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-083,Palajau - Ds. Baluti,Jl. Palajau - Ds. Baluti,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-084,RS. Hasan Basry II,Jl. RS. Hasan Basry II,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-085,Tajun - Sp.3 Muara Paring Agung,Tajun - Sp.3 Muara Paring Agung,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-085,Tajun - Sp.3 Muara Paring Agung,Tajun - SP.3 Muara Paring Agung,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-086,Hamalau - Anjiran,Hamalau - Anjiran,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-087,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,dashboard_2025,IMPORT_SEARCH_ONLY
