source_ml_road_id,source_name,norm_panjang_ruas,norm_lebar_ruas,norm_kondisi_sedang,norm_rusak_ringan,norm_rusak_berat,norm_permukaan_aspal_penmac,norm_permukaan_beton,norm_penduduk_dilayani,norm_desa_dilalui,norm_kecamatan_dilalui,norm_koneksi_jalan_provinsi,norm_koneksi_jalan_nasional,norm_jarak_rsud_cost,norm_jarak_puskesmas_cost,norm_jarak_sd_smp_cost,norm_jarak_pasar_cost,norm_jarak_ibukota_kabupaten_cost,label_top105
186,Panglima Batur,0.06041055718475073,0.18181818181818182,0.0,0.0,0.0,0.9999999153958677,0.0,0.6777256478999106,0.25,0.0,0.0,1.0,0.9443469639501505,0.9616290573326424,1.0,0.9974706915104491,0.9928602673665567,1
150,Panjampang  Bahagia - Bayur,0.0879765395894428,0.045454545454545456,0.641025641025641,0.2564102564102565,0.0,0.999999982698215,0.0,0.1789544235924933,0.25,0.0,0.0,0.0,0.8191627949873762,0.8189758326659443,0.935334500266905,0.9883193634252704,0.8337440920099436,1
46,Panjampang Bahagia - Hanau,0.2768328445747801,0.045454545454545456,0.5439330543933054,0.06276150627615061,0.39330543933054396,0.6066945012895166,0.0,0.09986595174262734,0.125,0.0,0.0,0.0,0.7622623672772968,0.7027182362086022,0.835971348056559,0.9821314492835702,0.7810858965741659,0
52,Pantai Langsat - Umpaya,0.25747800586510267,0.0,1.0,0.0,0.0,0.0,1.0,0.07897676496872208,0.125,0.5,0.0,0.0,0.2897453338098478,0.3748763367409431,0.7276079103199136,0.9189128957354024,0.3493966648529271,0
257,Papagaran - Ds. Amawang Kanan,0.0281524926686217,0.045454545454545456,0.0,0.0,0.0,0.9999999062820089,0.0,0.054959785522788206,0.0,0.0,0.0,0.0,0.9308954243091503,0.8970415037452302,0.9071542959293881,0.9903576485246645,0.9359301816940329,0
196,Papagaran/Palangsatan,0.055131964809384156,0.0,0.4,0.6,0.0,0.9999999460184349,0.0,0.1193029490616622,0.125,0.0,0.0,1.0,0.9311006329186889,0.8974560700994018,0.9475997169565379,0.9912802288044401,0.9428821389324542,1
155,Papancan - Ds. Tanah Bangkang,0.08211143695014662,0.0,0.0,0.0,0.0,0.9999999198903735,0.0,0.12176050044682753,0.25,0.5,0.0,0.0,0.9111308377814413,0.8737127243604843,0.9011582436408327,0.9856731041513281,0.8907467272669078,0
310,Paramaian,0.014076246334310849,0.0,0.0,0.0,1.0,0.5733332796016849,0.0,0.05819928507596068,0.0,0.0,0.0,0.0,0.914504098407904,0.9107221934328921,1.0,0.9928342866851674,0.3576182398190527,0
240,Parincahan - Singakarsa (Harapan),0.03519061583577713,0.045454545454545456,1.0,0.0,0.0,0.999999906282009,0.0,0.193923145665773,0.0,0.0,0.0,1.0,0.9266782720973934,0.9205116125688981,0.9808200811887825,0.9952514583451323,0.9765088713205091,1
316,Parindra,0.012903225806451615,0.2727272727272727,0.0,0.0,0.0,0.9999999417609606,0.0,0.4683869526362824,0.125,0.0,0.0,0.0,0.9379901084838773,0.9746125217882885,0.992328032475513,0.9970561250495554,0.9869773495929755,0
317,Pasar Kandangan - Oprit Jembt. Loklua,0.012903225806451615,0.2727272727272727,1.0,0.0,0.0,0.9999999417609606,0.0,0.34081769436997317,0.0,0.0,0.0,0.0,0.9585178865818932,0.9671409054506054,0.9363152210345983,0.9994356345925128,0.9944520906016281,1
191,Pegangsaan Timur - Teluk Aman,0.058064516129032254,0.0,1.0,0.0,0.0,0.9999999914314974,0.0,0.20721626452189454,0.125,0.0,1.0,0.0,0.8598332968261837,0.7812078956046544,0.7448388017826773,0.9866579826697627,0.9106082429130792,1
200,Pembangunan - Ds. Sungai Raya Utara,0.052199413489736064,0.0,0.5789473684210527,0.4210526315789474,0.0,0.9999999585667813,0.0,0.07104557640750671,0.125,0.0,0.0,1.0,0.9088435687852342,0.9379657982757809,0.9399525778059166,0.9881146287591324,0.8845778787781796,1
322,Pemuda,0.011730205278592375,0.2727272727272727,0.0,0.0,0.0,0.999999982698216,0.0,0.34081769436997317,0.0,0.0,0.0,1.0,0.9520618853829216,0.9458661139115278,1.0,0.9983692020161975,1.0,0
217,Pendawa - Ds. Tebing Tinggi,0.04457478005865102,0.0,0.0,0.0,0.02439024390243902,0.0,0.0,0.029714030384271672,0.0,0.0,0.0,1.0,0.7887826979167867,0.8787676072925991,0.9016548111181458,0.9938701364897774,0.7797074544698013,0
290,Pertanian - Ds. Wasah Tengah,0.01759530791788856,0.0,0.0,0.0,0.0,0.9999999062820089,0.0,0.10265862377122431,0.125,0.0,0.0,1.0,0.887388893372223,0.9671220615254157,0.8588258661998932,0.9935563799059863,0.8905717547397284,0
304,Pertukangan,0.015249266862170088,0.0,0.375,0.625,0.0,0.9999999683701756,0.0,0.08176943699731903,0.0,0.0,1.0,0.0,0.9464359414809606,0.9572713996325435,0.9791938227005822,0.9967556776349323,0.38716725879930436,0
320,Pesantren Muradiyah,0.012316715542521995,0.0,0.0,0.0,0.0,0.9999999062820089,0.0,0.02468722073279714,0.0,0.0,0.0,0.0,0.8922009199801708,0.8651481603618034,0.850309733963974,0.9900948632270488,0.33697574923449514,0
218,Pianggu,0.04457478005865102,0.0,0.0,0.0,0.0,0.9999999547410654,0.0,0.13192582663092048,0.125,0.0,0.0,0.0,0.8303962370735869,0.8631224384039196,0.9145903939021514,0.9938967548281135,0.8441400206979697,0
332,Rahmah Bahran,0.0093841642228739,0.09090909090909091,1.0,0.0,0.0,0.9999999514370386,0.0,0.5501563896336015,0.125,0.0,0.0,1.0,0.9490690676842555,0.9433598718613088,0.9592318101125967,0.9980016424081101,0.9972303129234282,1
177,Rambai - Bariang,0.06744868035190615,0.0,0.33057851239669434,0.33057851239669434,0.3388429752066115,0.6611569682591828,0.0,0.10936103663985701,0.125,0.0,0.0,0.0,0.9313519558225061,0.8676355584868328,0.827728327933162,0.9924687092937645,0.9518377449882107,0
178,Rantauan - Sungai Baru (Pulau),0.06568914956011729,0.045454545454545456,0.0,0.0,0.0,0.9999999904693555,0.0,0.20431188561215372,0.25,0.5,0.0,0.0,0.8402831417668692,0.934121637537099,0.8616438866336449,0.9956416718581865,0.8965549616447418,0
176,Rawati - Ds. Panjampang Bahagia,0.06744868035190615,0.045454545454545456,0.0,0.0,0.0,0.999999914492014,0.0,0.09986595174262734,0.125,0.0,0.0,0.0,0.8149917570698977,0.81045366749894,0.9320323265427731,0.9886178286232089,0.829886161166768,0
69,Rel Angkinang - TMMD Angkinang,0.20938416422287387,0.0,0.33057851239669434,0.027548209366391192,0.6418732782369146,0.3856748981511899,0.0,0.22788203753351208,0.25,0.0,0.0,1.0,0.7832835683240913,0.8860978941913601,0.7742231822526784,0.9961751713201563,0.8438050123227603,1
349,RS. Hasan Basry II,0.0023460410557184755,0.6363636363636364,1.0,0.0,0.0,0.9999999311172748,0.0,0.07808310991957104,0.0,0.0,0.0,0.0,1.0,0.9092476562868046,0.8972974315047236,0.9949699835759189,0.9666293249687931,1
161,Sakincung - Ds. Hakurung Dalam,0.0750733137829912,0.0,0.1492537313432836,0.0,0.2238805970149254,0.0,0.7753730817804143,0.059428060768543345,0.0,0.0,1.0,0.0,0.6649796520676496,0.5679700381589485,0.7138778195722071,0.9810641671858187,0.12669718016835763,0
340,Samping Bappeda - Mesjid Darul Halik,0.007624633431085044,0.045454545454545456,0.0,1.0,0.0,0.9999999585667803,0.0,0.08936550491510277,0.0,0.0,0.0,0.0,0.9716028175833804,0.9471663447496114,0.9586607575136866,0.997249249589398,0.9878628812854079,1
344,Samping Kantor Camat Daha Utara,0.005278592375366569,0.045454545454545456,1.0,0.0,0.0,0.9999999062820089,0.0,0.04479445933869526,0.0,0.0,0.0,0.0,0.9445037525506969,0.9720167710934188,0.991545938698745,0.9965186611542165,0.38538125873528994,0
327,Samping Mesjid Mandapai,0.010557184750733138,0.0,1.0,0.0,0.0,0.9999999683701768,0.0,0.06490169794459338,0.0,0.0,0.0,1.0,0.7617781671873739,0.8059028595656474,0.8135513264558738,0.9768850880670555,0.7862347832581165,0
8,Samuda - Bajayau,0.49501466275659817,0.045454545454545456,0.09411764705882353,0.09411764705882353,0.2352941176470588,0.7882352515674725,0.0,0.2802725647899911,0.5,0.5,0.0,0.0,0.7729770235528758,0.7017053752296604,0.5957816592802254,0.9879169734382964,0.14841724546298374,0
113,Sarang Halang Padang - Sp. Batang Kulur,0.12023460410557184,0.0,0.6208530805687204,0.18957345971563982,0.18957345971563982,0.9999999957360531,0.0,0.04792225201072386,0.125,0.0,0.0,0.0,0.8436425681050483,0.9199839826635888,0.9603987436842824,0.995277227162032,0.824237962636964,0
288,Satria,0.01818181818181818,0.0,0.0,0.0,0.0,0.9999999331309449,0.0,0.08768990169794459,0.0,0.0,0.0,0.0,0.9652367392582516,0.9676308475055354,0.9635891897260189,0.9990649600724925,0.40456849000842854,0
99,Sei Kupang Utara - Simp. Empat Lungau,0.1348973607038123,0.045454545454545456,0.8305084745762712,0.08474576271186442,0.0,0.9999999904693555,0.0,0.19101876675603216,0.125,0.0,1.0,0.0,0.7718518347724836,0.6337306260894144,0.9198043524139387,0.9758529195220026,0.8291884048693574,1
115,Sei. Mandala Murung Raya,0.11964809384164223,0.045454545454545456,0.2380952380952381,0.5714285714285714,0.19047619047619052,0.9999999914314974,0.0,0.18185880250223413,0.375,0.0,1.0,0.0,0.9823520595796682,0.9468224431149008,0.9693245440889849,0.9964960072492496,0.4071162607090655,0
281,Sekolah Islam (Kandangan Barat),0.01994134897360704,0.045454545454545456,0.0,1.0,0.0,0.9999999311172748,0.0,0.193923145665773,0.0,0.0,0.0,1.0,0.9427790779446859,0.9306826211899939,0.9258252330763597,0.9972291442487399,0.9914092756777518,1
338,Sekolah Islam (Sungai Pinang),0.008211143695014663,0.2727272727272727,0.0,0.0,0.0,0.9999999311172748,0.0,0.06344950848972297,0.0,0.0,0.0,0.0,0.951430119551308,0.9674424082536393,0.9438630466897571,0.9966319306790508,0.3917912279017166,0
