no,nama_ruas,nama_ruas_norm,desa_yang_dilalui,kecamatan_yang_dilalui,jumlah_desa_yang_dilalui,jumlah_kecamatan_yang_dilalui,jumlah_penduduk_dilayani,terhubung_ruas_provinsi,terhubung_ruas_nasional,jarak_pasar_m,jarak_puskesmas_m,jarak_rsud_m,jarak_sd_smp_m,jarak_ibukota_m,akses_terputus_ibukota,akses_terputus_pasar,akses_terputus_puskesmas,akses_terputus_rsud,akses_terputus_sd_smp,prior_handled_any_pre2024,prior_handled_count_pre2024,prior_handled_last_year_pre2024,years_since_last_handled_pre2024,prior_handled_any_pre2025,prior_handled_count_pre2025,prior_handled_last_year_pre2025,years_since_last_handled_pre2025,prior_handled_any_pre2026,prior_handled_count_pre2026,prior_handled_last_year_pre2026,years_since_last_handled_pre2026,handled_any_2021,handled_any_2022,handled_any_2023,handled_any_2024,handled_any_2025,handled_pl_2021,handled_pl_2022,handled_pl_2023,handled_pl_2024,handled_pl_2025,handled_tender_2021,handled_tender_2022,handled_tender_2023,handled_tender_2024,handled_tender_2025,planned_any_2026,planned_any_2027,planned_pl_2026,planned_pl_2027,planned_tender_2026,planned_tender_2027,source_ml_road_id
21,Bago Tanggul - Katilang - Teratai,bago tanggul – katilang – teratai,"Bago Tanggul, Balanti, Kalumpang, Karang Bulan",Kalumpang,4,1,960,0,0,10210.5,7816.6,20724.2,161.6,22103.7,0,0,0,0,0,1,1,2022,2,1,1,2022,3,1,1,2022,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,249
22,Baiturrahim Parincahan,baiturrahim parincahan,Kandangan Barat,Kandangan,1,1,1874,0,1,2675.7,2608.4,4437.4,935.9,2574.5,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,2,2025,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,069
23,Bajayau - Ds. Bajayau Tengah,bajayau – desa bajayau tengah,"Bajayau, Bajayau Tengah",Daha Barat,2,1,734,0,0,3635.1,1570.2,17922.5,1051.1,,1,0,0,0,0,1,1,2023,1,1,1,2023,2,1,2,2025,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,340
24,Bakarung - Rantauan,bakarung – rantauan,"Bakarung, Gambah Dalam Barat, Gambah Luar, Taniran Selatan","Angkinang, Kandangan",4,2,2506,1,1,1752.4,2792.8,8362.7,1550.7,6499.8,0,0,0,0,0,1,2,2023,1,1,2,2023,2,1,2,2023,3,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,167
25,Bakarung -Tabihi - Karang Jawa,bakarung – tabihi – karang jawa,"Bakarung, Karang Jawa, Karang Jawa Muka, Tabihi","Angkinang, Padang Batung",4,2,2766,0,1,2678.7,1551.4,5058.9,419.1,3325.5,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,2,2025,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,179
26,Bakarung Tengah - Karang Jawa,bakarung tengah – karang jawa,"Gambah Luar, Gambah Luar Muka, Karang Jawa Muka","Kandangan, Padang Batung",3,2,1780,0,1,2368.5,1835.5,4559.7,89.1,2826.2,0,0,0,0,0,1,3,2023,1,1,3,2023,2,1,3,2023,3,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,056
27,Balaimas - Hanau,balaimas – hanau,"Panjampang Bahagia, Pantai Ulin",Simpur,2,1,1150,0,0,6620.7,4762,8803.8,1614.2,8968.5,0,0,0,0,0,1,2,2023,1,1,2,2023,2,1,2,2023,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,219
28,Balanti - (Ex. P3DT),balanti – p3dt,"Balanti, Karang Bulan",Kalumpang,2,1,426,0,0,4304.7,1910.8,14818.3,1026,16197.8,0,0,0,0,0,1,1,2022,2,1,1,2022,3,1,1,2022,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251
29,Balimau - Murung Dalam,balimau – murung dalam,Balimau,Kalumpang,1,1,310,0,0,8506.9,6113.1,19020.6,1650.5,20400.1,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
30,Baluti - Jambu Hulu (Paku),baluti – jambu hulu paku,"Baluti, Jambu Hilir, Jambu Hulu","Kandangan, Padang Batung",3,2,3778,0,1,2296,1621.3,3589.2,57.6,2614.4,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,040
