road_key,road_geometry_id,source_road_code,source_object_id_nonunique,candidate_nomor_ruas,identity_match_status,display_name,village_count_spatial,villages_spatial,district_count_spatial,districts_spatial
HSS-KAB-069,hss-county-069,069,330,,unresolved,Jl. Baiturrahim,1,Kandangan Barat,1,Kandangan
HSS-KAB-070,hss-county-070,070,331,070,exact_normalized,Jl. Newangsekarti - Ds. Gambah Luar Muka,1,Gambah Luar Muka,1,Kandangan
HSS-KAB-071,hss-county-071,071,332,,unresolved,Jl. Tembok Baru (Asam Cangkok,2,Amawang Kanan; Sungai Paring,1,Kandangan
HSS-KAB-072,hss-county-072,072,179,072,exact_normalized,Sungai Paring - Toba,1,Wasah Hulu,1,Simpur
HSS-KAB-073,hss-county-073,073,333,,unresolved,Jl. Tembok Baru - Baluti,2,Baluti; Tibung Raya,1,Kandangan
HSS-KAB-074,hss-county-074,074,334,,unresolved,Jl. H. Jarkasi,1,Sungai Paring,1,Kandangan
HSS-KAB-075,hss-county-075,075,335,075,exact_normalized,Jl. Bariang - Patigan,2,Amawang Kiri; Bariang,1,Kandangan
HSS-KAB-076,hss-county-076,076,339,076,exact_normalized,Gambah Dalam Barat - Mahulung,2,Gambah Dalam Barat; Taniran Selatan,2,Angkinang; Kandangan
HSS-KAB-077,hss-county-077,077,338,,unresolved,Jl. Suriangpati,2,Gambah Dalam Barat; Sungai Kupang,1,Kandangan
HSS-KAB-078,hss-county-078,078,0,078,exact_normalized,Jl. Menuju SMP 7 - Ds. Gambah Dalam,3,Gambah Dalam; Gambah Dalam Barat; Gambah Luar,1,Kandangan
HSS-KAB-079,hss-county-079,079,336,079,exact_normalized,Jl. Telaga Banta - Patigan,2,Amawang Kiri; Lungau,1,Kandangan
HSS-KAB-080,hss-county-080,080,49,080,exact_normalized,Jl. Nomura,2,Jambu Hilir; Kandangan Kota,1,Kandangan
HSS-KAB-081,hss-county-081,081,43,081,exact_normalized,Jl. Lorong Bupati,1,Kandangan Kota,1,Kandangan
HSS-KAB-082,hss-county-082,082,0,082,exact_normalized,Jl. Biti - Sungai Kupang (Karya Bakti TNI),2,Lungau; Sungai Kupang,1,Kandangan
HSS-KAB-083,hss-county-083,083,83,083,exact_normalized,Jl. Palajau - Ds. Baluti,4,Baluti; Jambu Hulu; Karasikan; Pahampangan,3,Kandangan; Padang Batung; Sungai Raya
HSS-KAB-084,hss-county-084,084,58,084,exact_normalized,Jl. RS. Hasan Basry II,1,Hamalau,1,Sungai Raya
