road_key,road_geometry_id,source_road_code,source_object_id,candidate_nomor_ruas,identity_match_status,display_name,district_id,district_name,intersection_length_m
HSS-KAB-080,hss-county-080,080,49,080,exact_normalized,Jl. Nomura,63.06.05,Kandangan,409.11
HSS-KAB-081,hss-county-081,081,43,081,exact_normalized,Jl. Lorong Bupati,63.06.05,Kandangan,388.43
HSS-KAB-082,hss-county-082,082,0,082,exact_normalized,Jl. Biti - Sungai Kupang (Karya Bakti TNI),63.06.05,Kandangan,1816.46
HSS-KAB-083,hss-county-083,083,83,083,exact_normalized,Jl. Palajau - Ds. Baluti,63.06.01,Sungai Raya,143.7
HSS-KAB-083,hss-county-083,083,83,083,exact_normalized,Jl. Palajau - Ds. Baluti,63.06.02,Padang Batung,865.45
HSS-KAB-083,hss-county-083,083,83,083,exact_normalized,Jl. Palajau - Ds. Baluti,63.06.05,Kandangan,269.29
HSS-KAB-084,hss-county-084,084,58,084,exact_normalized,Jl. RS. Hasan Basry II,63.06.01,Sungai Raya,95.52
HSS-KAB-085,hss-county-085,085,64,085,exact_normalized,Tajun - SP.3 Muara Paring Agung,63.06.01,Sungai Raya,4957.69
HSS-KAB-086,hss-county-086,086,65,086,exact_normalized,Hamalau - Anjiran,63.06.01,Sungai Raya,905.75
HSS-KAB-087,hss-county-087,087,66,087,exact_normalized,Tanjungan - SP.10 Batang Kulur - Sungai Kali,63.06.01,Sungai Raya,7289.56
HSS-KAB-088,hss-county-088,088,67,088,exact_normalized,Sungai Raya Selatan - Sarang Halang,63.06.01,Sungai Raya,2620.51
HSS-KAB-089,hss-county-089,089,68,089,exact_normalized,SP. Batang Kulur Kiri - Tatas,63.06.01,Sungai Raya,2371.31
HSS-KAB-090,hss-county-090,090,69,090,treatment_engine_alias,Taal Batang Kulur - SP.3 Muara Paring Agung,63.06.01,Sungai Raya,4116.93
HSS-KAB-091,hss-county-091,091,71,091,exact_normalized,Batang Kulur Kanan - Sarangan,63.06.01,Sungai Raya,2178.12
HSS-KAB-092,hss-county-092,092,72,092,exact_normalized,Bumi Berkat - Mungkur Galah,63.06.01,Sungai Raya,1513.02
HSS-KAB-093,hss-county-093,093,73,093,exact_normalized,Taal Jarau - SP. Baru/Tampang,63.06.01,Sungai Raya,5639.21
HSS-KAB-094,hss-county-094,094,74,094,exact_normalized,Sungai Raya - Jambu Hulu/Paku,63.06.01,Sungai Raya,2309.21
HSS-KAB-094,hss-county-094,094,74,094,exact_normalized,Sungai Raya - Jambu Hulu/Paku,63.06.02,Padang Batung,2872.07
HSS-KAB-095,hss-county-095,095,75,095,exact_normalized,Sungai Raya Selatan - Malutu - Goa Berangin,63.06.01,Sungai Raya,2695.53
